"id","card_id","creation_date","last_update","provider_card_id","design","activation_date","deactivation_date","deactivation_reason","shipping_address_id","pin_set_date","pin_id","last_pan_digits"
"199,166","109,980",2020-01-01 04:42:09,2020-07-20 08:28:30,"109980_1",black_physical,,2020-07-22 13:20:46,program_terminated,,,,
"199,170","109,985",2020-01-01 17:03:45,2020-07-20 08:28:36,"109985_3",black_physical,,2020-07-22 13:20:46,program_terminated,,,,
"199,174","109,990",2020-01-01 18:14:44,2020-07-20 08:28:42,"109990_1",black_physical,,2020-07-22 13:20:46,program_terminated,,,,
"199,178","109,995",2020-01-01 20:36:29,2020-07-20 08:28:46,"109995_1",black_physical,2020-01-21 17:44:19,2020-07-22 13:20:46,program_terminated,,2020-01-21 17:44:37,,
"199,182","110,004",2020-01-02 01:50:20,2020-07-20 08:28:56,"110004_1",black_physical,2020-01-24 03:17:29,2020-07-22 13:20:46,program_terminated,,2020-01-24 03:18:27,,
"199,186","109,098",2020-01-02 10:30:29,2020-07-20 08:12:18,"109098_2",black_physical,,2020-07-22 13:20:46,program_terminated,,,,
"199,190","110,020",2020-01-02 13:25:11,2020-07-20 08:29:07,"110020_1",black_physical,2020-01-24 13:03:11,2020-07-22 13:20:46,program_terminated,,2020-01-24 13:03:32,,
"199,194","110,027",2020-01-02 15:56:43,2020-07-20 08:29:13,"110027_1",black_physical,2020-01-26 20:07:57,2020-07-22 13:20:46,program_terminated,,2020-01-26 20:08:13,,
"199,198","110,032",2020-01-02 17:20:46,2020-07-20 08:29:19,"110032_1",black_physical,2020-01-21 14:59:43,2020-07-22 13:20:46,program_terminated,,2020-01-21 14:59:58,,
"199,202","110,040",2020-01-02 19:52:41,2020-07-20 08:29:26,"110040_1",black_physical,2020-02-05 21:56:39,2020-07-22 13:20:46,program_terminated,,2020-02-05 21:57:49,,
"199,206","110,046",2020-01-02 21:20:18,2020-07-20 08:29:33,"110046_1",black_physical,2020-01-24 22:22:22,2020-07-22 13:20:46,program_terminated,,2020-01-24 22:22:52,,
"199,210","110,054",2020-01-02 22:44:21,2020-01-02 22:44:21,PENDING-5-8935239-debit-physical-BRL,black_physical,,2020-07-22 13:20:46,program_terminated,,,,
"199,214","110,060",2020-01-02 23:37:57,2020-07-20 08:29:48,"110060_1",black_physical,,2020-07-22 13:20:46,program_terminated,,,,
"199,218","110,065",2020-01-03 00:06:40,2020-07-20 08:29:53,"110065_1",black_physical,2020-01-09 09:04:37,2020-07-22 13:20:46,program_terminated,,2020-01-09 09:05:19,,
"199,222","110,075",2020-01-03 01:52:09,2020-07-20 08:30:02,"110075_1",black_physical,2020-01-31 01:06:42,2020-07-22 13:20:46,program_terminated,,2020-01-31 01:07:07,,
"199,226","110,085",2020-01-03 09:50:13,2020-07-20 08:30:12,"110085_1",black_physical,2020-01-22 17:57:43,2020-07-22 13:20:46,program_terminated,,2020-01-22 17:57:58,,
"199,230","110,091",2020-01-03 14:39:09,2020-04-01 14:22:41,"110091_1",black_physical,,2020-04-01 14:22:41,reported_lost,,,,
"199,234","110,096",2020-01-03 16:19:09,2020-01-03 16:19:09,PENDING-5-9895013-debit-physical-BRL,black_physical,,2020-07-22 13:20:46,program_terminated,,,,
"199,238","110,104",2020-01-03 20:30:32,2020-07-20 08:30:36,"110104_1",black_physical,,2020-07-22 13:20:46,program_terminated,,,,
"199,242","110,110",2020-01-03 21:46:32,2020-07-20 08:30:43,"110110_1",black_physical,,2020-07-22 13:20:46,program_terminated,,,,
"199,246","110,118",2020-01-04 01:31:35,2020-07-20 08:30:47,"110118_1",black_physical,,2020-07-22 13:20:46,program_terminated,,,,
"199,250","110,124",2020-01-04 03:46:04,2020-07-20 08:30:57,"110124_3",black_physical,2020-02-18 02:47:41,2020-07-22 13:20:46,program_terminated,,2020-02-18 02:48:23,,
"199,254","110,132",2020-01-04 13:00:10,2020-07-20 08:31:07,"110132_1",black_physical,2020-01-22 00:11:18,2020-07-22 13:20:46,program_terminated,,2020-01-22 00:11:45,,
"199,258","110,137",2020-01-04 14:08:41,2020-07-20 08:31:13,"110137_2",black_physical,2020-02-08 17:03:32,2020-07-22 13:20:46,program_terminated,,2020-02-08 17:03:43,,
"199,262","110,141",2020-01-04 14:49:52,2020-01-04 14:49:52,PENDING-5-9895454-debit-physical-BRL,black_physical,,2020-07-22 13:20:46,program_terminated,,,,
"199,266","110,156",2020-01-04 20:58:25,2020-07-20 08:31:29,"110156_1",black_physical,2020-01-22 20:43:18,2020-07-22 13:20:46,program_terminated,,2020-01-22 20:43:45,,
