card,activation_date,deactivation_date,activedays
"109,995",2020-01-21 17:44:19,2020-07-22 13:20:46,183
"110,004",2020-01-24 03:17:29,2020-07-22 13:20:46,180
"110,020",2020-01-24 13:03:11,2020-07-22 13:20:46,180
"110,027",2020-01-26 20:07:57,2020-07-22 13:20:46,178
"110,032",2020-01-21 14:59:43,2020-07-22 13:20:46,183
"110,040",2020-02-05 21:56:39,2020-07-22 13:20:46,168
"110,046",2020-01-24 22:22:22,2020-07-22 13:20:46,180
"110,065",2020-01-09 09:04:37,2020-07-22 13:20:46,195
"110,075",2020-01-31 01:06:42,2020-07-22 13:20:46,173
"110,085",2020-01-22 17:57:43,2020-07-22 13:20:46,182
"110,124",2020-02-18 02:47:41,2020-07-22 13:20:46,155
"110,132",2020-01-22 00:11:18,2020-07-22 13:20:46,182
"110,137",2020-02-08 17:03:32,2020-07-22 13:20:46,165
"110,156",2020-01-22 20:43:18,2020-07-22 13:20:46,182
"110,171",2020-05-11 01:56:07,2020-07-22 13:20:46,72
"110,190",2020-01-21 18:00:40,2020-07-22 13:20:46,183
"108,615",2020-05-05 19:12:26,2020-07-22 13:20:46,78
"110,220",2020-02-13 14:50:25,2020-07-22 13:20:46,160
"110,231",2020-01-23 13:26:07,2020-07-22 13:20:46,181
"110,235",2020-01-25 23:05:16,2020-07-22 13:20:46,179
"110,250",2020-01-22 15:31:35,2020-07-22 13:20:46,182
"110,255",2020-01-21 18:38:20,2020-07-22 13:20:46,183
"110,037",2020-01-29 14:21:15,2020-07-22 13:20:46,175
"110,273",2020-02-04 10:08:45,2020-07-22 13:20:46,169
"110,285",2020-01-28 19:19:09,2020-07-22 13:20:46,176
"110,316",2020-01-23 21:36:39,2020-07-22 13:20:46,181
"110,323",2020-02-05 14:57:45,2020-07-22 13:20:46,168
"110,328",2020-01-29 22:25:22,2020-07-22 13:20:46,175
"110,335",2020-02-06 15:52:29,2020-07-22 13:20:46,167
"110,358",2020-01-14 17:06:46,2020-07-22 13:20:46,190
"110,364",2020-01-24 18:32:46,2020-07-22 13:20:46,180
