card,issuedate,activationdate,firstuseddate
"111,586",2020-01-29 19:13:57,2020-02-15 21:31:40,2020-03-07 02:55:46
"110,492",2020-01-28 17:49:48,2020-02-04 23:52:50,2020-06-19 00:59:59
"110,712",2020-01-14 16:34:37,2020-04-03 22:54:20,2020-05-30 22:02:33
"111,159",2020-01-23 18:53:08,2020-02-02 22:49:55,2020-02-27 23:55:25
"111,193",2020-01-23 18:59:53,2020-01-31 21:13:44,2020-02-19 17:37:54
"116,419",2020-04-08 22:40:41,2020-05-20 19:52:04,2020-06-03 13:44:45
"110,532",2020-01-28 17:49:08,2020-02-08 15:50:33,2020-04-12 14:43:53
"110,941",2020-03-24 21:15:41,2020-04-01 19:37:44,2020-05-07 15:56:45
"111,080",2020-01-21 21:30:19,2020-02-03 14:56:10,2020-04-22 23:36:09
"112,332",2020-02-10 18:56:54,2020-02-25 20:01:39,2020-03-07 23:40:54
"113,094",2020-03-16 22:53:27,2020-03-31 17:03:39,2020-05-11 15:05:07
"111,185",2020-01-23 20:01:28,2020-03-09 00:17:33,2020-03-25 16:11:18
"111,309",2020-03-23 21:46:11,2020-04-09 18:14:55,2020-04-27 21:25:46
"113,503",2020-03-11 19:50:48,2020-03-23 15:32:51,2020-04-17 19:15:39
"112,224",2020-03-22 03:33:15,2020-04-07 19:10:33,2020-04-23 15:18:17
"110,196",2020-01-10 21:43:13,2020-01-24 03:18:57,2020-02-05 14:09:03
"110,290",2020-01-28 17:51:38,2020-02-05 23:40:34,2020-04-11 20:03:17
"113,521",2020-03-22 02:52:58,2020-04-02 02:04:45,2020-04-23 19:37:22
"110,952",2020-01-16 18:02:20,2020-02-04 18:57:36,2020-06-15 13:52:59
"110,521",2020-03-26 16:41:08,2020-04-02 23:29:42,2020-04-13 02:03:23
"109,996",2020-03-27 21:41:02,2020-04-07 20:07:48,2020-06-03 16:16:21
"110,056",2020-04-14 20:40:49,2020-04-25 17:36:04,2020-05-18 17:04:11
"110,604",2020-03-27 22:40:41,2020-04-08 16:49:42,2020-04-22 15:45:29
"113,589",2020-03-11 18:40:45,2020-03-26 19:08:59,2020-05-15 00:03:32
"115,800",2020-04-01 19:40:30,2020-04-09 13:22:39,2020-04-23 16:44:31
"116,028",2020-04-03 20:40:30,2020-04-09 17:04:12,2020-05-01 20:57:03
"110,688",2020-01-14 20:28:24,2020-01-30 23:25:10,2020-02-29 01:22:30
"113,164",2020-04-20 18:40:41,2020-05-19 12:47:42,2020-06-09 17:22:16
"113,596",2020-03-19 20:42:46,2020-04-08 16:53:21,2020-06-23 21:31:44
"114,318",2020-03-19 18:34:39,2020-03-26 22:23:43,2020-05-22 18:08:49
"110,753",2020-01-14 21:44:56,2020-02-06 14:28:16,2020-02-27 18:58:49
"114,176",2020-03-11 17:47:02,2020-03-22 07:01:39,2020-04-08 07:33:24
"114,670",2020-03-19 18:41:13,2020-05-06 12:59:25,2020-05-21 09:24:40
"116,789",2020-04-13 18:41:01,2020-04-30 17:01:21,2020-05-24 13:55:35
"110,030",2020-01-08 20:38:53,2020-01-15 19:54:23,2020-01-27 15:54:58
"110,789",2020-03-26 16:40:37,2020-04-08 15:56:37,2020-04-20 00:45:34
"110,497",2020-01-28 17:50:39,2020-02-03 22:59:24,2020-05-16 19:51:29
"113,003",2020-02-26 20:05:56,2020-03-08 17:21:48,2020-04-26 00:03:58
"114,012",2020-03-22 22:15:51,2020-03-31 21:10:07,2020-05-27 20:17:00
"111,091",2020-01-23 19:57:06,2020-03-18 02:17:58,2020-04-16 19:10:50
"111,182",2020-01-22 21:10:20,2020-01-29 16:16:18,2020-03-02 00:02:06
"111,437",2020-01-27 18:51:33,2020-02-05 23:19:35,2020-04-03 22:52:28
"117,019",2020-06-23 09:57:50,2020-07-03 12:22:47,2020-07-27 09:07:15
"110,478",2020-01-09 03:16:10,2020-01-18 00:16:02,2020-04-10 23:13:25
"111,835",2020-02-04 19:50:26,2020-02-13 20:45:55,2020-03-27 14:30:58
"112,333",2020-02-10 18:57:06,2020-02-19 14:00:47,2020-04-30 17:24:39
"113,616",2020-03-12 23:22:47,2020-03-24 18:03:09,2020-09-05 16:57:43
"110,186",2020-01-28 17:52:47,2020-02-04 19:34:27,2020-02-28 19:15:41
"110,286",2020-03-26 20:41:02,2020-04-09 12:03:06,2020-05-03 17:38:50
"111,414",2020-01-27 18:47:37,2020-02-05 11:15:20,2020-07-16 20:07:06
"114,440",2020-03-15 10:19:26,2020-03-21 14:32:32,2020-05-18 10:49:01
"116,784",2020-04-13 18:41:01,2020-04-23 20:31:54,2020-05-21 17:46:10
"113,737",2020-03-12 23:23:56,2020-03-20 17:31:01,2020-04-15 22:38:56
"110,469",2020-01-28 17:50:26,2020-02-13 14:44:49,2020-05-27 20:29:16
"114,063",2020-03-10 13:35:12,2020-03-26 14:13:13,2020-04-07 10:54:48
"111,796",2020-03-22 21:19:46,2020-04-29 15:59:48,2020-06-10 12:16:56
"114,162",2020-03-22 02:53:33,2020-04-13 21:08:21,2020-04-25 18:05:52
"110,652",2020-01-14 14:09:57,2020-02-21 23:17:09,2020-06-03 16:28:47
"112,995",2020-03-16 22:48:55,2020-03-20 21:12:07,2020-06-10 01:07:12
"117,049",2020-12-21 12:15:40,2021-01-08 14:17:13,2021-01-22 12:34:02
"112,228",2020-03-22 03:11:47,2020-03-31 14:33:53,2020-05-24 15:23:53
"115,827",2020-04-02 22:40:33,2020-04-11 02:47:12,2020-06-07 01:35:42
"116,001",2020-04-03 17:40:30,2020-04-26 15:23:40,2020-06-06 16:22:19
"117,014",2020-04-27 17:36:13,2020-05-12 08:46:02,2020-06-17 14:52:51
"110,747",2020-01-22 22:12:10,2020-05-11 02:52:34,2020-06-06 15:23:02
"114,678",2020-04-01 08:18:12,2020-04-13 13:38:00,2020-05-20 15:23:55
"110,852",2020-01-15 20:45:17,2020-01-24 20:10:15,2020-02-15 02:25:52
"114,100",2020-03-10 19:25:12,2020-04-02 22:52:37,2020-08-04 19:18:05
"114,540",2020-03-16 19:32:10,2020-04-08 16:42:43,2020-05-06 11:49:46
"110,195",2020-01-10 21:43:17,2020-02-10 21:32:17,2020-02-28 23:40:43
"114,848",2020-03-24 19:26:30,2020-04-01 19:13:42,2020-04-21 02:56:43
"112,023",2020-02-04 21:45:14,2020-02-20 19:50:58,2020-03-18 17:06:02
"112,204",2020-03-22 22:44:49,2020-03-30 17:16:22,2020-07-16 22:17:39
"115,073",2020-03-30 22:40:32,2020-04-08 14:57:30,2020-05-04 14:52:26
"112,244",2020-03-22 03:32:14,2020-03-31 16:10:17,2020-08-01 16:33:31
"115,965",2020-04-07 21:41:01,2020-05-05 19:50:49,2020-06-29 10:57:01
"116,685",2020-04-13 17:41:08,2020-04-22 17:49:10,2020-05-09 20:23:48
"114,563",2020-04-07 22:41:11,2020-04-17 10:57:58,2020-04-28 20:32:04
"111,048",2020-03-25 19:49:38,2020-04-10 22:12:01,2020-07-20 10:21:36
"114,189",2020-03-11 20:06:23,2020-03-18 11:37:56,2020-10-04 00:32:42
"113,467",2020-03-16 20:39:27,2020-03-25 17:20:10,2020-07-14 11:21:33
"114,679",2020-03-23 18:48:24,2020-03-31 19:52:51,2020-05-27 18:06:34
"116,334",2020-04-08 22:40:42,2020-05-07 14:46:40,2020-06-27 19:11:34
"114,456",2020-03-17 22:07:35,2020-03-26 21:27:41,2020-06-02 19:06:48
"110,252",2020-01-10 21:43:03,2020-01-21 22:18:35,2020-04-04 15:51:03
"111,218",2020-03-25 21:05:03,2020-04-08 15:35:50,2020-09-23 16:50:38
"115,693",2020-03-31 21:40:30,2020-04-04 02:35:17,2020-04-24 00:14:40
"113,319",2020-03-16 18:57:43,2020-03-23 22:20:20,2020-04-12 03:27:22
"113,411",2020-03-16 19:13:39,2020-03-30 14:44:04,2020-05-22 01:55:45
"114,245",2020-03-18 19:58:45,2020-03-28 01:48:27,2020-07-18 17:08:23
"116,092",2020-04-08 22:40:39,2020-04-20 22:29:38,2020-07-18 18:06:20
"112,787",2020-03-17 16:16:00,2020-03-28 20:26:25,2020-04-22 14:16:26
"111,452",2020-03-30 21:40:43,2020-04-18 14:09:36,2020-05-04 17:49:41
"114,416",2020-03-22 02:50:01,2020-03-27 18:24:01,2020-04-17 00:30:47
"114,704",2020-03-23 19:35:58,2020-04-01 21:56:25,2020-05-17 23:43:28
"110,964",2020-01-20 14:35:21,2020-01-30 18:57:44,2020-05-26 12:53:48
