merchant_name,nooftransactions
ifood       *IFOOD,498
APPLE.COM/BILL,312
UberBR UBER TRIP HELP.,260
AmazonPrimeBR,202
LOCAL HERO FULHAM,191
REDE TOP SUPERMERCADOS,174
Google TEMPORARY HOLD,170
PICPAY,152
APPLE.COM/BI,140
UberBR Uber,131
"RUA CARLOS VICARA, 155",130
MERCPAGO*MOVEISLEARTAM,118
SUPERMERCADOS KOCH,105
NETFLIX.COM,100
AMZN Mktp ES,89
AUTOPISTA DEL SOL,85
RUA MARQ. MONTE SANTO,82
SUPERMERCADO MESCHKE,79
Amazon.com.br,78
MERCPAGO*MERCADOLIVRE,65
Google Starz,62
GOOGLE *TEMPORARY HOLD,60
PADARIA DO PAULINHO,59
PAYPAL DO BRASIL,56
Amazon Prime,54
RAPPI BRASIL INTERMEDI,53
ESTRADA DO COQUEIRO GR,52
RECARGAPAY EMPRESTIMO,50
RUA PEDRO ADAMS FILHO,48
RUA DUQUE DE CAXIAS,46
REFORM KIROPRAK,45
PADARIA SABOR DE MINAS,44
Amazon.com.br Digital,43
PICPAY      *verificac,43
LuVariedades,42
POSTO AGRICOPEL LTDA,41
99*,40
MERCPAGO    *LOTERIAS,40
AVENIDA KENNEDY,39
LAIKI IPERAGORA STELIOS,38
STOR-IT OF LOS GATOS -,36
AUTO POSTO SJB,35
MC DONALDS,34
ALIEXPRESS.COM,34
DE SUPERMARKT B.V.,34
WAITROSE,33
CHIP ISTP TESTING,33
MERCADONA URB. TORREBLANC,32
AVENIDA PRESIDENTE KEN,31
Google YouTube Super,31
Netto Marken-Discount,30
AMAZON.ES AMAZON.ES,30
AMZN Mktp US,30
ROD BR 116,30
Saque Rede 24 Horas,30
Amazon *Mktplce EU-DE,30
Google YouTubePremium,29
SO EASY STORES 406/EPS,29
BANCOSABADELL,28
CARNICERIA EL ALTILLO,28
SAINSBURYS,28
PAYPAL,27
Amazon web services,27
Google Bigo,26
MERCADONA ALTABIX,26
M S,26
GERHOLD LIMITED,25
DROGARIA ARAUJO,25
AMERICANAS.C,25
RUA CONCEICAO,25
HSH*SENNA MOVEIS,24
MEGA IMAGE 0509 PIAT,24
REDE OBA HORTIFRUT,24
GRAN TARAJAL,24
ER COMERCIO DE ALIMENT,24
KOMPRAO KOCH ATACADIST,24
M. F. CORREA MERCADINH,24
FAZENDA GRANDE II E ES,24
HAVAN LOJAS DEPTOS,24
WHISK CRITORIO,23
CO-OP GROUP FOOD RETAI,23
CARREFOUR 2 RJB BARR,23
KRYSTALS FOOD MARKET,23
TESCO STORES 4338,23
PANIFICADORA CEPAM,22
ANG SUPER LJ 14,22
MERCEARIA MIX BAR LTDA,22
Transferwise Ltd,22
SUPERMERCADO UNIAO,22
CASA CARNES FRONTEIRAS,22
BoaCompra,22
CardtronicsUK,22
LIDL DEKUJE ZA NAKUP,22
BELLACOMPRA - JARDIM E,22
PG          *Eduzz,22
AMZNMktplace,21
AGROPECUARIA MARQUES,21
AUTO POSTO JORDAN,21
SUPERMERCADO ASP,21
UberBR UBER EATS HELP.,20
TODA HORA BEACH,20
PAYPAL      *Paypal,20
AV. FELIPE UEBE,20
RAIA 375,20
GOLDCAR CENTRAL,19
KarlinhoAnten,19
POSTO AMIGAO,19
KNOWN HOST,19
B.B.V.A.,19
PLANO OI,19
SUPERMERCADOS BH,19
LIDL ELCHE-BOLERA,18
FARMACIA PEREIRA GARCI,18
PAYPAL *ASOSCOMLTD,18
EBANX SPOTIFY,18
PICPAY *EJ3 ANTONIOAN,18
SUPERMERCADO ASUN,18
CASA AVENIDA,18
PANIFICADORA CECI,18
FOODISIAC,18
PAMILAC PANIFICADORA,18
FBQ PAES ARTESANAIS,18
CONVENIENCIAS FERNANDA,18
AMZNMKTPLACE AMAZON.CO,18
