block_height,block_time,fee,addresses,value
673104,2021-03-04T07:41:52.000Z,74350311,191sNkKTG8pzUsNgZYKo7DH2odg39XDAGo,699350311
673104,2021-03-04T07:41:52.000Z,100000,3NwGDuZuxtE6WveXm7BPZHD9reujsvYD2g,3391169
673104,2021-03-04T07:41:52.000Z,100000,37VbgjzwVrM93g6zQrc4XP5RonpwnwKevj,1542491639
673104,2021-03-04T07:41:52.000Z,100000,3ACRhjwZkwacc4KgkBJFKzEKGhEfTCfzfz,9901210
673104,2021-03-04T07:41:52.000Z,100000,37VbgjzwVrM93g6zQrc4XP5RonpwnwKevj,1532490429
673104,2021-03-04T07:41:52.000Z,90000,3JuYRyLXcbTPnXxcwMERfMwjfzmnBFS4W6,2000000
673104,2021-03-04T07:41:52.000Z,90000,bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,361030
673104,2021-03-04T07:41:52.000Z,90000,1GZs1nUFkn19az1WtfYf2Zi3HsAP96nsa6,2000000
673104,2021-03-04T07:41:52.000Z,90000,bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,404268
673104,2021-03-04T07:41:52.000Z,90000,1M2GzzWeEhYBjRDEew4dEmahAAvokL4AJ8,299910000
673104,2021-03-04T07:41:52.000Z,90000,bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,110281000
673104,2021-03-04T07:41:52.000Z,100000,1MPk2jiEjo9VEZgEk4ZEwEf5JiV7MkhcfE,1653661
673104,2021-03-04T07:41:52.000Z,100000,3MBTKLAXEVP3JHXCVykBSDJxbuFgGhQB54,28656339
673104,2021-03-04T07:41:52.000Z,57200,164KFFg5bL88n3SMPkMk1TvEea4GE2R7iL,202133
673104,2021-03-04T07:41:52.000Z,57200,bc1q00hylrd2ravrjungccqr6j320cx6y5kyu89h3r,564153
673104,2021-03-04T07:41:52.000Z,122442,1bFuNzv1NPJctAWxcyx7m7FC4S9XNVc2V,360194
673104,2021-03-04T07:41:52.000Z,122442,1KTE89136TFcuE1qHGi9CZVwuzxVStABLW,645000
673104,2021-03-04T07:41:52.000Z,122442,3GGpKN5TC3JW2d8bEK5Bqfpfwe2CxKTT9S,1100000
673104,2021-03-04T07:41:52.000Z,122442,3Ew3hX3KBdFDi4rRRnKYewTG1JZvyQX6BG,5600000
673104,2021-03-04T07:41:52.000Z,122442,17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,400381771
673104,2021-03-04T07:41:52.000Z,57428,36ADRAqwPnLfnebaSe6yhoEuHzuUdunejw,677372
673104,2021-03-04T07:41:52.000Z,67200,39uuxMtk7E9uBsRjWRA4gTu7D53FRC3Xdr,2000000
673104,2021-03-04T07:41:52.000Z,67200,14By9991PQ3aFwk9r9p1YutYHddQx5i5NA,25932800
673104,2021-03-04T07:41:52.000Z,150900,38CnKPYAoxaNcR8jUGGoV4gamQAVGk2jDC,11270441
673104,2021-03-04T07:41:52.000Z,150900,bc1qjy43s9psnf3d42lztcn9g24t6rhty4r4xljusj,859851
