block_height,block_time,fee,addresses,value
673217,2021-03-05T06:08:29.000Z,41788369,bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,666788369
673217,2021-03-05T06:08:29.000Z,2471922,3FbSWJ9KDbM3JZiKFbWMD67C9E9RUvUVcs,5000000000
673217,2021-03-05T06:08:29.000Z,2471922,1BgYcECqc65QGmJDkpEAATFjYJZyj7vmgF,90426756964
673217,2021-03-05T06:08:29.000Z,90000,13kEkewnSg2riRAJLXQ2MkkMjxagvwCJmj,97600000
673217,2021-03-05T06:08:29.000Z,90000,bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1238873145
673217,2021-03-05T06:08:29.000Z,42900,34zJENAArQnQKUdUsGxzazH9qiiDUKpYZ3,1207556
673217,2021-03-05T06:08:29.000Z,42900,3Nv6BSgG7kRDwoAFh9sR3XMhFf2k18f5Qt,460700
673217,2021-03-05T06:08:29.000Z,50000,1LoWHeDooVXntbxkRnecymrxaNqKBnXcPm,19000000
673217,2021-03-05T06:08:29.000Z,50000,bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,5896467486
673217,2021-03-05T06:08:29.000Z,100000,19iqYbeATe4RxghQZJnYVFU4mjUUu76EA6,1717150708505
673217,2021-03-05T06:08:29.000Z,77300,1Mm8T95H3P8pjuk86r6dKRRbtfwd2sZKhw,954082
673217,2021-03-05T06:08:29.000Z,77300,bc1q9mfgz6ep8gs7m55eg2ln3uz3hzxjcx3epnn97ae8y2emtvhdhcvqhv72tk,7115156629
673217,2021-03-05T06:08:29.000Z,77300,bc1q2m6mnysz3r8t40uwg9y4r637ldd6ycd36uh5dmsh3desafd95xgsw72hnj,7115129329
673217,2021-03-05T06:08:29.000Z,693180,bc1q866sv2stppgtywjejsjj3xsfrsm5e2f5zqwsx9z0qcx9k34f0xlqaslnwr,4001000000
673217,2021-03-05T06:08:29.000Z,693180,bc1qzjeg3h996kw24zrg69nge97fw8jc4v7v7yznftzk06j3429t52vse9tkp9,2001000000
673217,2021-03-05T06:08:29.000Z,693180,bc1q866sv2stppgtywjejsjj3xsfrsm5e2f5zqwsx9z0qcx9k34f0xlqaslnwr,1000000000
673217,2021-03-05T06:08:29.000Z,693180,bc1qdl753ur9ucwa3cgfrud2nqvu7k69dykk3cwwx6g64a5szn3xw92sp8mc7a,608568000
673217,2021-03-05T06:08:29.000Z,693180,bc1qyy30guv6m5ez7ntj0ayr08u23w3k5s8vg3elmxdzlh8a3xskupyqn2lp5w,2406079
673217,2021-03-05T06:08:29.000Z,40800,15s2k3Qo5gBcuKYzAfstpyM5H62r5VeHQh,80871100
673217,2021-03-05T06:08:29.000Z,24503,34QYBkvjRNsyyx4BWbFipnSn3UKUB49e85,31062
673217,2021-03-05T06:08:29.000Z,39270,1QAVtc9osgMdajriTrFdpEdVw6cpoqmzYe,2000000
673217,2021-03-05T06:08:29.000Z,39270,bc1q9x4r3zqen7cc4g3pvtv8ynnmq5nuj65964wujapqxp5dlgxg45tssgken5,32760880
673217,2021-03-05T06:08:29.000Z,70600,3KsAPEwCwJwXAbAfsCJh3C4kJpvqcdi2s2,555555
673217,2021-03-05T06:08:29.000Z,70600,34HkER8BTnD5cyAumsU9p7Ls6RjDUbuavb,555555
673217,2021-03-05T06:08:29.000Z,70600,15282N4BYEwYh3j1dTgJu64Ey5qWn9Po9F,55891533
673217,2021-03-05T06:08:29.000Z,32844,12q6j9KTpFsATuaDqeuPby1g3b2iYwz34x,603403
673217,2021-03-05T06:08:29.000Z,32844,3L1p2tUHPwrRN3qgf4Hm1R73e29hFshbnp,20245059
673217,2021-03-05T06:08:29.000Z,32844,1DK49S2uDF9cJJ3uN4hZX4zByAaaW2CjPY,105778
673217,2021-03-05T06:08:29.000Z,32844,3FDZiLDhhLBGAujPVU8hgdwv2dXuzbUmio,21819668
673217,2021-03-05T06:08:29.000Z,49742,3FovhgCBJLTsUfdjGcTAErSdGh1fjmmFVj,471330
673217,2021-03-05T06:08:29.000Z,49742,3HXvBamyH66VhgM1BHNaZsnNhK3Hr1kt6e,1097070960
673217,2021-03-05T06:08:29.000Z,50232,3FBnDmYotSpMK6Z9rNdYaWGSwVCPHfNeHf,390000
673217,2021-03-05T06:08:29.000Z,50232,3Gw1AqGsRRk6kQ9DJmNCSFZ2V1LGMkGubh,8105991
673217,2021-03-05T06:08:29.000Z,50232,3Jzc4s1CAZji6uMzUR8Qc1pfETi4HP8iux,860000
673217,2021-03-05T06:08:29.000Z,50232,34kEeNZ7x351ozawsPasqjSpsGUdRHjDRH,1438674
673217,2021-03-05T06:08:29.000Z,50232,32bboM8BpcKji6LGUTCH9MW18ekY58Dvon,460900
673217,2021-03-05T06:08:29.000Z,50232,bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf,379587069
673217,2021-03-05T06:08:29.000Z,64051,3KsAPEwCwJwXAbAfsCJh3C4kJpvqcdi2s2,287500
673217,2021-03-05T06:08:29.000Z,64051,34HkER8BTnD5cyAumsU9p7Ls6RjDUbuavb,287500
673217,2021-03-05T06:08:29.000Z,64051,17RfeXjpSQzqWrsEXd71eVWP4d28t1wKis,61627758
