merchant_name,status,nooftransactions
MC DONALDS BNM,completed,2
GRILLE 53,completed,2
CAFE SOLO,completed,10
ALIEXPRESS.COM,completed,29
Revolut**7990*,rejected,1
CRV*C-TYCB48 from Curve,completed,1
Playstart,completed,2
SUPER BERTI,completed,14
VIDA DE CAO PET SHOP,completed,2
RAPPI BRASIL INTERMEDI,rejected,2
CANTINHO MINEIRO,completed,2
THE ORVIS INC. UK LIMI,completed,2
ECSI LTD,completed,2
LOCAL HERO FULHAM,pending,2
99* TAXI 13Fev 13h53mi,completed,2
MANISH PATIO BATEL,completed,2
DIA MARKET,completed,3
MERCPAGO    *DROGARIA,completed,2
EL CORTE INGLES FRANCESC,completed,1
RUA BENEDITO CAMARGO,completed,2
MERCPAGO    *CANTINA,canceled,2
DROGARIA FORTE FARMA,completed,2
CLAREL,completed,1
SUPER MUFFATO LJ 06,completed,2
99* TOP 10Jun 15h23min,rejected,1
Netto Marken-Discount,rejected,1
LIDL REQUENA,completed,1
Nike Malaga Fact. 505,completed,2
TAURON SP. ZO.O.,completed,1
GALETERIA ARIZONA,completed,2
POSTO AUTOMAR II,completed,2
DanielFreitasDePo,completed,2
OFICINA LEAL,completed,2
DOM FORNELLO,completed,2
99* POP 05Mai 01h18min,completed,3
UBBEER BEBIDAS,completed,2
LuisFernandoWolff,completed,2
BIOSSANCE   *Biossance,completed,2
99* POP 31Mai 14h52min,completed,3
PAYPAL *PROGREEN,completed,1
K E N LANCHES,completed,4
MERCADO IRMAOS SOUZA,completed,2
PRINOS FARM   DELI - CASH,completed,2
EL CHIRINGUITO TARIFA,completed,1
POSTO DOURO LITORAL,completed,2
MERCADO PAGO,completed,1
MERCPAGO    *MERCADO,rejected,3
ALDI,completed,4
IZ *SANDWICH DIRECT BR,completed,1
MERCPAGO    *CACADOS,completed,5
BRAZ E SAMPAIO SERVICO,completed,4
GALETO MATIAS,completed,2
SUPERMERCADOS RAMOS,completed,2
NatuFlora,completed,4
PRAKTIKER_ELLINIKO,completed,5
SUPER JAPA,rejected,2
PADARIA SABOR DE MINAS,canceled,6
CHOCOLATE GRAMADENSE,completed,2
Revolut**4684*,rejected,1
FRANGO BRASA,completed,2
MEGA GULA COMERCIO DE,completed,2
TELE BOCATA S.L,completed,1
SC-LE ROC BAR,completed,1
SUMUP*OGABMULLER,completed,2
MERCADINHO PIRATININGA,completed,2
INOVE ESTETICA,completed,2
POSTO PRAIA DA RIBEIRA,completed,2
00491756,rejected,1
DICICO 20 PRAIA GRANDE,completed,2
AVENIDA PAES DE BARROS,completed,4
AMISTAD TOKIO SL,completed,1
AVENIDA SERTORIO,completed,2
RUA BERNARDINO DE CAMP,completed,4
HOTEL CALA CHICA,completed,1
LONDON GRAPHIC CENTRE,completed,1
SUPERMERCADO COMETA,rejected,1
PAYPAL *DHLEXPRESSS,completed,1
BRORA - COVENT GDN,completed,1
CASA GIRALDI,completed,4
POSTO GLAMOUR,completed,2
IPIRANGA,completed,2
AV REPUBLICA ARGENTINA,completed,8
GANASSA,completed,1
PARKING ATH INT AIRPOR,completed,1
THE RENDEZVOUS,completed,2
MCDONALDS MALAGA UNIVERSI,completed,1
ZARA,completed,8
PREMIER INN45521675,completed,2
PAPELARIA PINTANDO O 7,rejected,2
SODEXO 6778,completed,2
JonathanClemente,completed,2
QOY,completed,2
BARBEARIA DO VAVA,completed,4
STELO S.A.*PADARIA LEA,completed,2
Amazon.com,completed,10
WORLD BIKES PC,completed,2
MAGIC ACAI,completed,2
10012011,completed,1
AXE ELDORADO,completed,2
SUPERMERCADO ARAUJO,completed,2
WINE ART AE,completed,1
PG*Eduzz,rejected,3
4570.5682.3799 CARDS 2,canceled,2
IKEA PORTUGAL MOVEIS E DE,completed,1
ANCAR PARKING ESTACION,rejected,1
PIXIXI,completed,1
REY DE ISTAMBUL,rejected,1
Revolut*7005*,canceled,1
AUTO POSTO EXPRESSA DE,completed,4
AMRITA NUTRITION,completed,1
EDEKA Fil. 5450,completed,1
SAO FRANCISCO ACABAMEN,completed,2
UNIDASUL FL 55,completed,2
Aegean Redemptions,completed,1
99* POP 09Set 06h46min,rejected,1
N010131,completed,2
